direction,prize_topic,citation_topic,prize_domain,citation_domain,prize_paper_field,citation_paper_field,count,sample_prize_paper_id,sample_prize_paper_title,sample_citation_paper_id,sample_citation_paper_title
prize_paper_references_citation_paper,"Biochemistry, Genetics and Molecular Biology",Environmental Science,Life Sciences,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Environmental Science,95,W1506010125,A Restriction enzyme from Hemophilus influenzae,W1493689801,The P22 bacteriophage DNA molecule
prize_paper_references_citation_paper,"Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology",Life Sciences,Life Sciences,"Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology",1915,W1506010125,A Restriction enzyme from Hemophilus influenzae,W1534152204,A restriction enzyme from Hemophilus influenzae: II. Base sequence of the recognition site
prize_paper_references_citation_paper,Physics and Astronomy,Physics and Astronomy,Physical Sciences,Physical Sciences,Physics and Astronomy,Physics and Astronomy,1576,W2000744791,Observation of High-Energy Neutrino Reactions and the Existence of Two Kinds of Neutrinos,W119557844,New Limit on thee+γDecay Mode of the Muon
prize_paper_references_citation_paper,Physics and Astronomy,Engineering,Physical Sciences,Physical Sciences,Physics and Astronomy,Engineering,220,W2000744791,Observation of High-Energy Neutrino Reactions and the Existence of Two Kinds of Neutrinos,W2010256898,Muon Capture in Liquid Hydrogen
prize_paper_references_citation_paper,Physics and Astronomy,Computer Science,Physical Sciences,Physical Sciences,Physics and Astronomy,Computer Science,44,W2000744791,Observation of High-Energy Neutrino Reactions and the Existence of Two Kinds of Neutrinos,W2019898617,On the conservation of the lepton number
prize_paper_references_citation_paper,Physics and Astronomy,"Biochemistry, Genetics and Molecular Biology",Physical Sciences,Life Sciences,Physics and Astronomy,"Biochemistry, Genetics and Molecular Biology",14,W2000744791,Observation of High-Energy Neutrino Reactions and the Existence of Two Kinds of Neutrinos,W2059905772,"Decays of the<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>μ</mml:mi></mml:math>Meson in the Intermediate-Meson Theory"
prize_paper_references_citation_paper,Physics and Astronomy,Arts and Humanities,Physical Sciences,Social Sciences,Physics and Astronomy,Arts and Humanities,19,W2000744791,Observation of High-Energy Neutrino Reactions and the Existence of Two Kinds of Neutrinos,W2156086489,A theory of the fundamental interactions
prize_paper_references_citation_paper,Agricultural and Biological Sciences,Chemistry,Life Sciences,Physical Sciences,Agricultural and Biological Sciences,Chemistry,4,W1493302394,The Absorption and Translocation of Lead by Plants,W2060807621,The Permeability of Protoplasm to Ions and the Theory of Antagonism
prize_paper_references_citation_paper,Nursing,Chemistry,Health Sciences,Physical Sciences,Nursing,Chemistry,7,W4244596985,Hexuronic Acid as the Antiscorbutic Factor,W2012509974,THE QUANTITATIVE DETERMINATION OF THE ANTISCORBUTIC VITAMIN (VITAMIN C).
prize_paper_references_citation_paper,Nursing,Agricultural and Biological Sciences,Health Sciences,Life Sciences,Nursing,Agricultural and Biological Sciences,3,W4244596985,Hexuronic Acid as the Antiscorbutic Factor,W28034627,ON THE FUNCTION OF HEXURONIC ACID IN THE RESPIRATION OF THE CABBAGE LEAF
prize_paper_references_citation_paper,Agricultural and Biological Sciences,Medicine,Life Sciences,Health Sciences,Agricultural and Biological Sciences,Medicine,36,W2055404553,A Method for the Fluorimetric Determination of Adrenaline and Noradrenaline in Tissues.<sup>1</sup>,W1930369825,THE SIMULTANEOUS FLUORIMETRIC DETERMINATION OF ADRENALINE AND NORADRENALINE IN PLASMA—II*
prize_paper_references_citation_paper,Agricultural and Biological Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Life Sciences,Agricultural and Biological Sciences,"Biochemistry, Genetics and Molecular Biology",31,W2055404553,A Method for the Fluorimetric Determination of Adrenaline and Noradrenaline in Tissues.<sup>1</sup>,W1978152852,Modifikationen zur Fluorescenzmethode von Weil-Malherbe und Bone zur Bestimmung von Adrenalin und Noradrenalin im menschlichen Blutplasma
prize_paper_references_citation_paper,Agricultural and Biological Sciences,Agricultural and Biological Sciences,Life Sciences,Life Sciences,Agricultural and Biological Sciences,Agricultural and Biological Sciences,48,W2055404553,A Method for the Fluorimetric Determination of Adrenaline and Noradrenaline in Tissues.<sup>1</sup>,W1999911464,Fluorimetric Determination of Adrenaline in Blood. III. A New Sensitive and Specific Method.
prize_paper_references_citation_paper,Agricultural and Biological Sciences,Engineering,Life Sciences,Physical Sciences,Agricultural and Biological Sciences,Engineering,1,W2055404553,A Method for the Fluorimetric Determination of Adrenaline and Noradrenaline in Tissues.<sup>1</sup>,W2021432299,A Fluorimetric Method for the Determination of Dopamine (3‐Hydroxytyramine.)
prize_paper_references_citation_paper,Agricultural and Biological Sciences,Neuroscience,Life Sciences,Life Sciences,Agricultural and Biological Sciences,Neuroscience,4,W2055404553,A Method for the Fluorimetric Determination of Adrenaline and Noradrenaline in Tissues.<sup>1</sup>,W2075235687,Release by reserpine of catechol amines from rabbits' hearts
prize_paper_references_citation_paper,Agricultural and Biological Sciences,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences,Life Sciences,Agricultural and Biological Sciences,"Pharmacology, Toxicology and Pharmaceutics",1,W2055404553,A Method for the Fluorimetric Determination of Adrenaline and Noradrenaline in Tissues.<sup>1</sup>,W562254,The chemical estimation of adrenaline-like substances in blood
prize_paper_references_citation_paper,Environmental Science,Social Sciences,Physical Sciences,Social Sciences,Environmental Science,Social Sciences,3,W2331925520,The Companion in the Bird's World,W4243825713,Scotland
prize_paper_references_citation_paper,"Biochemistry, Genetics and Molecular Biology",Chemistry,Life Sciences,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Chemistry,144,W2314460680,Über den Mechanismus der Oxydationsvorgänge,W1491901714,The Mode of Oxidation in the Animal Organism of Phenyl Derivatives of Fatty Acids. Part IV
prize_paper_references_citation_paper,"Biochemistry, Genetics and Molecular Biology",Neuroscience,Life Sciences,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Neuroscience,73,W2314460680,Über den Mechanismus der Oxydationsvorgänge,W1576302563,Über scheinbare Atmung abgetöteter Zellen durch Farbstoffreduktion
prize_paper_references_citation_paper,"Biochemistry, Genetics and Molecular Biology",Medicine,Life Sciences,Health Sciences,"Biochemistry, Genetics and Molecular Biology",Medicine,277,W2314460680,Über den Mechanismus der Oxydationsvorgänge,W1605936672,Zur Lehre von der Wirkung der Salze
