laureate_name,field,career_year,yearly_papers,cumulative_papers,is_prize_year
"abrikosov, aa",Physics,0,2,2,True
"abrikosov, aa",Physics,1,3,5,False
"abrikosov, aa",Physics,2,1,6,False
"abrikosov, aa",Physics,7,1,7,False
"abrikosov, aa",Physics,8,1,8,False
"abrikosov, aa",Physics,11,1,9,False
"abrikosov, aa",Physics,12,1,10,False
"abrikosov, aa",Physics,13,3,13,False
"abrikosov, aa",Physics,14,1,14,False
"abrikosov, aa",Physics,15,3,17,False
"abrikosov, aa",Physics,16,3,20,False
"abrikosov, aa",Physics,18,1,21,False
"abrikosov, aa",Physics,20,2,23,False
"abrikosov, aa",Physics,21,4,27,False
"abrikosov, aa",Physics,22,4,31,False
"abrikosov, aa",Physics,23,2,33,False
"abrikosov, aa",Physics,24,2,35,False
"abrikosov, aa",Physics,25,1,36,False
"abrikosov, aa",Physics,26,1,37,False
"abrikosov, aa",Physics,30,1,38,False
"abrikosov, aa",Physics,31,2,40,False
"abrikosov, aa",Physics,32,1,41,False
"abrikosov, aa",Physics,33,2,43,False
"abrikosov, aa",Physics,34,1,44,False
"abrikosov, aa",Physics,35,2,46,False
"abrikosov, aa",Physics,36,2,48,False
"abrikosov, aa",Physics,37,6,54,False
"abrikosov, aa",Physics,38,6,60,False
"abrikosov, aa",Physics,39,4,64,False
"abrikosov, aa",Physics,40,4,68,False
"abrikosov, aa",Physics,41,4,72,False
"abrikosov, aa",Physics,42,3,75,False
"abrikosov, aa",Physics,43,4,79,False
"abrikosov, aa",Physics,44,5,84,False
"abrikosov, aa",Physics,45,1,85,False
"abrikosov, aa",Physics,46,4,89,False
"abrikosov, aa",Physics,47,6,95,False
"abrikosov, aa",Physics,48,4,99,False
"abrikosov, aa",Physics,49,1,100,False
"abrikosov, aa",Physics,51,3,103,False
"abrikosov, aa",Physics,52,2,105,False
"abrikosov, aa",Physics,53,1,106,False
"abrikosov, aa",Physics,54,1,107,False
"abrikosov, aa",Physics,56,1,108,False
"adrian, ed",Medicine,0,4,4,False
"adrian, ed",Medicine,1,2,6,False
"adrian, ed",Medicine,2,2,8,True
"adrian, ed",Medicine,3,2,10,False
"adrian, ed",Medicine,4,2,12,False
"adrian, ed",Medicine,5,4,16,False
"adrian, ed",Medicine,6,1,17,False
"adrian, ed",Medicine,7,2,19,False
"adrian, ed",Medicine,8,2,21,False
"adrian, ed",Medicine,9,1,22,False
"adrian, ed",Medicine,10,2,24,False
"adrian, ed",Medicine,11,1,25,False
"adrian, ed",Medicine,12,1,26,False
"adrian, ed",Medicine,13,1,27,False
"adrian, ed",Medicine,15,1,28,False
"adrian, ed",Medicine,16,1,29,False
"adrian, ed",Medicine,17,3,32,False
"adrian, ed",Medicine,18,2,34,False
"adrian, ed",Medicine,19,1,35,False
"adrian, ed",Medicine,20,1,36,False
"adrian, ed",Medicine,21,1,37,False
"adrian, ed",Medicine,24,1,38,False
"adrian, ed",Medicine,26,1,39,False
"agre, p",Chemistry,0,1,1,False
"agre, p",Chemistry,1,1,2,False
"agre, p",Chemistry,3,1,3,False
"agre, p",Chemistry,4,1,4,False
"agre, p",Chemistry,5,1,5,False
"agre, p",Chemistry,6,1,6,False
"agre, p",Chemistry,7,3,9,False
"agre, p",Chemistry,8,3,12,False
"agre, p",Chemistry,9,3,15,False
"agre, p",Chemistry,10,1,16,False
"agre, p",Chemistry,11,3,19,True
"agre, p",Chemistry,12,8,27,False
"agre, p",Chemistry,13,9,36,False
"agre, p",Chemistry,14,10,46,False
"agre, p",Chemistry,15,9,55,False
"agre, p",Chemistry,16,15,70,False
"agre, p",Chemistry,17,11,81,False
"agre, p",Chemistry,18,13,94,False
"agre, p",Chemistry,19,10,104,False
"agre, p",Chemistry,20,12,116,False
"agre, p",Chemistry,21,10,126,False
"agre, p",Chemistry,22,6,132,False
"agre, p",Chemistry,23,12,144,False
"agre, p",Chemistry,24,6,150,False
"agre, p",Chemistry,25,8,158,False
"agre, p",Chemistry,26,8,166,False
"agre, p",Chemistry,27,2,168,False
"agre, p",Chemistry,28,5,173,False
"agre, p",Chemistry,29,3,176,False
"agre, p",Chemistry,30,4,180,False
"agre, p",Chemistry,32,3,183,False
"agre, p",Chemistry,33,1,184,False
"agre, p",Chemistry,35,1,185,False
"agre, p",Chemistry,36,2,187,False
"agre, p",Chemistry,37,1,188,False
"akasaki, isamu",Physics,0,2,2,False
"akasaki, isamu",Physics,1,3,5,False
"akasaki, isamu",Physics,2,1,6,False
"akasaki, isamu",Physics,3,2,8,False
"akasaki, isamu",Physics,4,2,10,False
"akasaki, isamu",Physics,5,1,11,False
"akasaki, isamu",Physics,6,1,12,False
"akasaki, isamu",Physics,12,1,13,False
"akasaki, isamu",Physics,21,1,14,False
"akasaki, isamu",Physics,22,2,16,False
"akasaki, isamu",Physics,23,6,22,False
"akasaki, isamu",Physics,24,8,30,False
"akasaki, isamu",Physics,25,4,34,False
"akasaki, isamu",Physics,26,10,44,False
"akasaki, isamu",Physics,27,9,53,True
"akasaki, isamu",Physics,28,7,60,False
"akasaki, isamu",Physics,29,14,74,False
"akasaki, isamu",Physics,30,8,82,False
"akasaki, isamu",Physics,31,14,96,False
"akasaki, isamu",Physics,32,13,109,False
"akasaki, isamu",Physics,33,29,138,False
"akasaki, isamu",Physics,34,21,159,False
"akasaki, isamu",Physics,35,37,196,False
"akasaki, isamu",Physics,36,36,232,False
"akasaki, isamu",Physics,37,45,277,False
"akasaki, isamu",Physics,38,38,315,False
"akasaki, isamu",Physics,39,23,338,False
"akasaki, isamu",Physics,40,35,373,False
"akasaki, isamu",Physics,41,23,396,False
"akasaki, isamu",Physics,42,20,416,False
"akasaki, isamu",Physics,43,15,431,False
"akasaki, isamu",Physics,44,27,458,False
"akasaki, isamu",Physics,45,29,487,False
"akasaki, isamu",Physics,46,20,507,False
"akasaki, isamu",Physics,47,19,526,False
"akasaki, isamu",Physics,48,22,548,False
"akasaki, isamu",Physics,49,25,573,False
"akasaki, isamu",Physics,50,14,587,False
"akasaki, isamu",Physics,51,16,603,False
"akasaki, isamu",Physics,52,11,614,False
"akasaki, isamu",Physics,53,13,627,False
"akasaki, isamu",Physics,54,15,642,False
"akasaki, isamu",Physics,55,9,651,False
"akasaki, isamu",Physics,56,2,653,False
albert a. michelson,Physics,0,1,1,False
albert a. michelson,Physics,6,1,2,False
albert a. michelson,Physics,7,1,3,False
albert a. michelson,Physics,9,1,4,False
albert a. michelson,Physics,14,1,5,False
albert a. michelson,Physics,15,2,7,True
albert a. michelson,Physics,18,3,10,False
albert a. michelson,Physics,19,5,15,False
albert a. michelson,Physics,23,3,18,False
albert a. michelson,Physics,24,3,21,False
albert a. michelson,Physics,25,2,23,False
albert a. michelson,Physics,26,4,27,False
albert a. michelson,Physics,27,1,28,False
albert a. michelson,Physics,30,1,29,False
albert a. michelson,Physics,31,1,30,False
albert a. michelson,Physics,39,1,31,False
albert a. michelson,Physics,41,2,33,False
albert a. michelson,Physics,42,2,35,False
albert a. michelson,Physics,43,1,36,False
albert a. michelson,Physics,44,1,37,False
albert a. michelson,Physics,45,2,39,False
albert a. michelson,Physics,46,2,41,False
albert a. michelson,Physics,47,3,44,False
albert a. michelson,Physics,48,5,49,False
albert a. michelson,Physics,49,1,50,False
albert a. michelson,Physics,51,1,51,False
albert a. michelson,Physics,52,6,57,False
albert a. michelson,Physics,53,2,59,False
albert a. michelson,Physics,55,1,60,False
albert a. michelson,Physics,57,2,62,False
"alder, k",Chemistry,0,1,1,False
"alder, k",Chemistry,1,1,2,False
"alder, k",Chemistry,2,1,3,True
"alder, k",Chemistry,3,4,7,False
"alder, k",Chemistry,4,1,8,False
"alder, k",Chemistry,5,10,18,False
"alder, k",Chemistry,6,4,22,False
"alder, k",Chemistry,7,4,26,False
"alder, k",Chemistry,8,7,33,False
"alder, k",Chemistry,9,2,35,False
"alder, k",Chemistry,10,6,41,False
"alder, k",Chemistry,11,3,44,False
"alder, k",Chemistry,12,10,54,False
"alder, k",Chemistry,13,1,55,False
"alder, k",Chemistry,14,4,59,False
"alder, k",Chemistry,15,3,62,False
"alder, k",Chemistry,16,1,63,False
"alder, k",Chemistry,17,3,66,False
"alder, k",Chemistry,23,3,69,False
"alder, k",Chemistry,24,7,76,False
"alder, k",Chemistry,25,5,81,False
"alder, k",Chemistry,26,2,83,False
"alder, k",Chemistry,27,4,87,False
"alder, k",Chemistry,28,13,100,False
"alder, k",Chemistry,29,6,106,False
"alder, k",Chemistry,30,7,113,False
"alder, k",Chemistry,31,9,122,False
"alder, k",Chemistry,32,6,128,False
"alder, k",Chemistry,33,5,133,False
"alder, k",Chemistry,34,5,138,False
"alder, k",Chemistry,35,2,140,False
"alder, k",Chemistry,36,3,143,False
"alferov, zi",Physics,0,1,1,False
"alferov, zi",Physics,1,1,2,False
"alferov, zi",Physics,4,2,4,False
"alferov, zi",Physics,5,2,6,False
"alferov, zi",Physics,7,2,8,False
"alferov, zi",Physics,9,1,9,False
"alferov, zi",Physics,10,1,10,False
"alferov, zi",Physics,11,1,11,False
"alferov, zi",Physics,12,1,12,False
"alferov, zi",Physics,15,3,15,False
"alferov, zi",Physics,17,4,19,False
"alferov, zi",Physics,19,1,20,False
"alferov, zi",Physics,20,2,22,False
"alferov, zi",Physics,22,2,24,False
"alferov, zi",Physics,23,3,27,True
"alferov, zi",Physics,24,10,37,False
"alferov, zi",Physics,25,23,60,False
"alferov, zi",Physics,26,25,85,False
"alferov, zi",Physics,27,39,124,False
"alferov, zi",Physics,28,49,173,False
"alferov, zi",Physics,29,37,210,False
"alferov, zi",Physics,30,23,233,False
"alferov, zi",Physics,31,17,250,False
"alferov, zi",Physics,32,15,265,False
"alferov, zi",Physics,33,7,272,False
"alferov, zi",Physics,34,3,275,False
"alferov, zi",Physics,35,6,281,False
"alferov, zi",Physics,36,2,283,False
"alferov, zi",Physics,37,3,286,False
"alferov, zi",Physics,39,1,287,False
"alferov, zi",Physics,40,2,289,False
"alferov, zi",Physics,42,2,291,False
"alferov, zi",Physics,45,3,294,False
"alferov, zi",Physics,46,3,297,False
"alfven, h",Physics,0,1,1,True
"alfven, h",Physics,3,1,2,False
"alfven, h",Physics,7,2,4,False
"alfven, h",Physics,8,1,5,False
"alfven, h",Physics,10,1,6,False
"alfven, h",Physics,11,1,7,False
"alfven, h",Physics,12,1,8,False
"alfven, h",Physics,15,1,9,False
"alfven, h",Physics,16,1,10,False
"alfven, h",Physics,17,1,11,False
"alfven, h",Physics,18,1,12,False
"alfven, h",Physics,19,1,13,False
"alfven, h",Physics,21,1,14,False
"alfven, h",Physics,22,1,15,False
"alfven, h",Physics,23,2,17,False
"alfven, h",Physics,24,1,18,False
"alfven, h",Physics,25,2,20,False
"alfven, h",Physics,26,2,22,False
"alfven, h",Physics,28,3,25,False
"alfven, h",Physics,29,1,26,False
"alfven, h",Physics,30,3,29,False
"alfven, h",Physics,31,4,33,False
"alfven, h",Physics,32,3,36,False
"alfven, h",Physics,33,1,37,False
"alfven, h",Physics,34,1,38,False
"alfven, h",Physics,35,1,39,False
"alfven, h",Physics,36,1,40,False
"alfven, h",Physics,37,2,42,False
"alfven, h",Physics,38,1,43,False
"alfven, h",Physics,39,3,46,False
"alfven, h",Physics,40,3,49,False
"alfven, h",Physics,41,1,50,False
"alfven, h",Physics,42,1,51,False
"alfven, h",Physics,43,1,52,False
"alfven, h",Physics,44,3,55,False
"alfven, h",Physics,45,2,57,False
"alfven, h",Physics,47,4,61,False
"alfven, h",Physics,48,1,62,False
"alfven, h",Physics,49,1,63,False
"alfven, h",Physics,50,1,64,False
"alfven, h",Physics,51,1,65,False
"altman, s",Chemistry,0,4,4,False
"altman, s",Chemistry,1,3,7,False
"altman, s",Chemistry,3,3,10,False
"altman, s",Chemistry,4,1,11,False
"altman, s",Chemistry,5,2,13,False
"altman, s",Chemistry,6,2,15,False
"altman, s",Chemistry,7,2,17,False
"altman, s",Chemistry,8,2,19,False
"altman, s",Chemistry,9,2,21,False
"altman, s",Chemistry,10,4,25,False
"altman, s",Chemistry,11,4,29,False
"altman, s",Chemistry,12,1,30,False
"altman, s",Chemistry,13,3,33,True
"altman, s",Chemistry,14,4,37,False
"altman, s",Chemistry,15,2,39,False
"altman, s",Chemistry,16,7,46,False
"altman, s",Chemistry,17,6,52,False
"altman, s",Chemistry,18,5,57,False
"altman, s",Chemistry,19,6,63,False
"altman, s",Chemistry,20,9,72,False
"altman, s",Chemistry,21,2,74,False
"altman, s",Chemistry,22,5,79,False
"altman, s",Chemistry,23,5,84,False
"altman, s",Chemistry,24,5,89,False
"altman, s",Chemistry,25,3,92,False
"altman, s",Chemistry,26,4,96,False
"altman, s",Chemistry,27,5,101,False
"altman, s",Chemistry,28,3,104,False
"altman, s",Chemistry,29,5,109,False
"altman, s",Chemistry,30,3,112,False
"altman, s",Chemistry,31,6,118,False
"altman, s",Chemistry,32,7,125,False
"altman, s",Chemistry,33,3,128,False
"altman, s",Chemistry,34,4,132,False
"altman, s",Chemistry,35,5,137,False
"altman, s",Chemistry,37,4,141,False
"altman, s",Chemistry,38,4,145,False
"altman, s",Chemistry,39,1,146,False
"altman, s",Chemistry,40,1,147,False
