laureate_name,field,prize_paper_career_year,award_career_year,trajectory_type
"abrikosov, aa",Physics,0,46,early
"adrian, ed",Medicine,2,6,early
"agre, p",Chemistry,11,22,early
"akasaki, isamu",Physics,27,52,sustained
albert a. michelson,Physics,15,35,early
"alder, k",Chemistry,2,24,early
"alferov, zi",Physics,23,29,sustained
"alfven, h",Physics,0,31,early
"altman, s",Chemistry,13,19,early
"alvarez, lw",Physics,24,35,sustained
"amano, hiroshi",Physics,5,30,early
"anderson, cd",Physics,1,4,early
"anderson, pw",Physics,9,28,early
"anfinsen, c",Chemistry,16,27,sustained
"appleton, ev",Physics,0,22,early
"arber, w",Medicine,5,21,early
"aston, f",Chemistry,0,3,early
"axel, r",Medicine,19,32,sustained
"axelrod, j",Medicine,9,22,early
baltimor.d,Medicine,8,13,early
"banting, fg",Medicine,0,1,early
"bardeen, j",Physics,17,42,sustained
"barkla, cg",Physics,1,12,early
"barresinoussi, f",Medicine,2,27,early
"barton, d",Chemistry,12,25,early
"basov, ng",Physics,0,10,early
"beadle, gw",Medicine,14,31,early
"bednorz, jg",Physics,10,11,early
benacerr.b,Medicine,12,31,early
"berg, p",Chemistry,24,27,sustained
"bergstrom, s",Medicine,19,43,sustained
"bethe, ha",Physics,12,40,early
"betzig, e",Chemistry,5,28,early
"beutler, b",Medicine,13,26,early
"binnig, g",Physics,2,6,early
"bishop, jm",Medicine,11,24,early
"black, jw",Medicine,5,31,early
"blackburn, eh",Medicine,10,37,early
"blackett, pms",Physics,0,16,early
"blobel, g",Medicine,9,33,early
"bloch, f",Physics,17,23,sustained
"bloch, k",Medicine,0,21,early
"bloember, n",Physics,16,35,sustained
"blumberg, bs",Medicine,11,22,early
"bohr, a.",Physics,3,25,early
"bohr, n",Physics,0,9,early
"born, m",Physics,17,45,sustained
"bothe, w",Physics,1,30,early
"bovet, d",Medicine,0,20,early
"boyer, p",Chemistry,10,53,early
"boyle, ws",Physics,0,39,early
"bragg, wh",Physics,0,2,early
"bragg, wl",Physics,0,2,early
"brattain, wh",Physics,19,27,sustained
"brenner, s",Medicine,25,53,sustained
"bridgman, pw",Physics,2,34,early
"brockhouse, bn",Physics,7,43,early
"broglie, ld",Physics,2,7,early
"brown, h",Chemistry,20,41,sustained
"brown, ms",Medicine,3,15,early
"buck, l",Medicine,8,21,early
"burnet, fm",Medicine,25,35,sustained
"butenandt, a",Chemistry,0,5,early
"calvin, m",Chemistry,11,22,early
"capecchi, mr",Medicine,15,42,early
carl bosch,Chemistry,0,18,early
"carlsson, a",Medicine,5,48,early
"carrel, a",Medicine,1,7,early
"cech, t",Chemistry,9,16,early
"chadwick, j",Physics,0,3,early
"chain, e",Medicine,0,5,early
"chalfie, m",Chemistry,17,31,sustained
"chamberlain, o",Physics,9,13,early
"chandrasekhar, s",Physics,0,52,early
charles edouard guillaume,Physics,0,1,early
charles robert richet,Medicine,0,11,early
"charpak, g",Physics,18,42,sustained
"chauvin, y",Chemistry,4,38,early
"cherenkov, pa",Physics,0,24,early
"chu, s",Physics,11,22,early
"ciechanover, a",Chemistry,2,26,early
"claude, a",Medicine,14,43,early
"cockcroft, jd",Physics,0,19,early
"cohen, s",Medicine,0,32,early
"cohentannoudji, c",Physics,27,36,sustained
"compton, ah",Physics,10,14,early
"cooper, ln",Physics,4,19,early
"corey, e",Chemistry,9,40,early
"cori, cf",Medicine,6,24,early
"cori, gt",Medicine,8,26,early
"cormack, am",Medicine,0,16,early
"cornell, ea",Physics,4,10,early
cornfort.jw,Chemistry,20,33,sustained
"cournand, a",Medicine,12,21,early
"cram, d",Chemistry,8,43,early
"crick, fhc",Medicine,1,10,early
"cronin, jw",Physics,8,24,early
"crutzen, p",Chemistry,1,26,early
"curie, i",Chemistry,11,12,early
"curl, r",Chemistry,30,41,sustained
"dale, hh",Medicine,9,31,early
"dam, h",Medicine,1,9,early
"dausset, j",Medicine,0,26,early
"davisson, cj",Physics,0,10,early
"debye, p",Chemistry,3,27,early
"degennes, pg",Physics,6,23,early
"dehmelt, hg",Physics,4,36,early
"deisenhofer, j",Chemistry,9,13,early
"delbruck, m",Medicine,13,39,early
"diels, o",Chemistry,29,51,sustained
"dirac, pam",Physics,4,9,early
"doherty, pc",Medicine,12,34,early
"doisy, ea",Medicine,16,20,sustained
"domagk, g",Medicine,0,4,early
"dulbecco, r",Medicine,5,26,early
"duve, cd",Medicine,0,19,early
"duvigneaud, v",Chemistry,0,2,early
"eccles, jc",Medicine,24,35,sustained
"edelman, gm",Medicine,1,14,early
"edwards, rg",Medicine,24,56,sustained
"eigen, m",Chemistry,3,16,early
"einstein, a",Physics,4,20,early
"einthoven, w",Medicine,0,21,early
"elion, gb",Medicine,13,49,early
"enders, jf",Medicine,20,25,sustained
"englert, f",Physics,0,49,early
"erlanger, j",Medicine,21,43,sustained
"ernst, r",Chemistry,1,26,early
"ertl, g",Chemistry,9,42,early
"esaki, l",Physics,0,15,early
"evans, mj",Medicine,7,33,early
"fenn, j",Chemistry,26,39,sustained
"feringa, b",Chemistry,23,40,sustained
"fermi, e",Physics,13,17,early
"fert, a",Physics,21,40,sustained
"feynman, rp",Physics,9,26,early
"fire, a",Medicine,8,16,early
"fischer, e",Chemistry,0,21,early
"fischer, eh",Medicine,9,46,early
"fischer, h",Chemistry,0,36,early
"fitch, v",Physics,11,27,early
"florey, hw",Medicine,15,20,early
"flory, p",Chemistry,1,39,early
"fowler, wa",Physics,17,49,sustained
"franck, j",Physics,0,9,early
"frank, i",Physics,0,21,early
"friedman, ji",Physics,9,31,early
fritz pregl,Chemistry,6,24,early
"fukui, k",Chemistry,29,58,sustained
"furchgott, rf",Medicine,41,59,late
"gabor, d",Physics,4,27,early
"gajdusek, dc",Medicine,16,26,sustained
"gasser, hs",Medicine,8,30,early
"geim, andre k.",Physics,13,19,early
"gellmann, m",Physics,5,16,early
"giacconi, r",Physics,2,42,early
"giaever, i",Physics,0,13,early
"giauque, w",Chemistry,10,26,early
"gilbert, w",Chemistry,20,23,sustained
"gilman, ag",Medicine,10,24,early
"ginzburg, vl",Physics,0,53,early
"glaser, da",Physics,0,8,early
"glashow, sl",Physics,2,20,early
"glauber, rj",Physics,12,54,early
"goldstein, jl",Medicine,3,14,early
"granit, r",Medicine,4,38,early
greengar.p,Medicine,15,46,early
"greider, cw",Medicine,0,24,early
"gross, dj",Physics,8,39,early
"grubbs, r",Chemistry,25,38,sustained
"grunberg, p",Physics,9,30,early
guillemi.r,Medicine,17,24,sustained
"gurdon, jb",Medicine,4,54,early
gustav hertz,Physics,0,9,early
"gyorgyi, as",Medicine,0,5,early
"haber, f",Chemistry,5,10,early
"hahn, o",Chemistry,20,25,sustained
"haldane, fdm",Physics,6,39,early
"hall, jl",Physics,50,55,late
"hansch, tw",Physics,34,39,late
"harden, a",Chemistry,4,27,early
"haroche, serge",Physics,27,43,sustained
"hartline, hk",Medicine,27,42,sustained
"hartwell, lh",Medicine,10,40,early
"hassel, o",Chemistry,18,40,sustained
"hauptman, h",Chemistry,6,35,early
"hausen, hz",Medicine,20,44,sustained
"haworth, w",Chemistry,20,29,sustained
"heck, r",Chemistry,9,51,early
"heeger, a",Chemistry,14,37,early
"heisenberg, w",Physics,0,4,early
"hell, s",Chemistry,5,25,early
"hench, ps",Medicine,27,28,sustained
herschba.dr,Chemistry,13,30,early
"hershey, ad",Medicine,11,28,early
"hershko, a",Chemistry,19,43,sustained
"herzberg, g.",Chemistry,29,44,sustained
"hess, wr",Medicine,0,13,early
"hevesy, g",Chemistry,0,20,early
