direction,prize_paper_field,citation_paper_field,prize_paper_subfield,citation_paper_subfield,prize_paper_domain,citation_paper_domain,count,sample_prize_paper_id,sample_prize_paper_title,sample_citation_paper_id,sample_citation_paper_title
citation_paper_cites_prize_paper,Engineering,Engineering,Aerospace Engineering,Aerospace Engineering,Physical Sciences,Physical Sciences,33,W2157392200,On some direct evidence for downward atmospheric reflection of electric rays,W3021449657,Ionospheric Narrowband and Wideband HF Soundings for Communications Purposes: A Review
citation_paper_cites_prize_paper,Engineering,Social Sciences,Aerospace Engineering,Anthropology,Physical Sciences,Social Sciences,2,W2089912494,Local Reflection of Wireless Waves from the Upper Atmosphere,W2104226809,"Edward Victor Appleton, 1892-1965"
citation_paper_cites_prize_paper,Engineering,Mathematics,Aerospace Engineering,Applied Mathematics,Physical Sciences,Physical Sciences,2,W2089912494,Local Reflection of Wireless Waves from the Upper Atmosphere,W2501552206,The Regular Ionosphere
citation_paper_cites_prize_paper,Engineering,Arts and Humanities,Aerospace Engineering,Archeology,Physical Sciences,Social Sciences,1,W2089912494,Local Reflection of Wireless Waves from the Upper Atmosphere,W2476128625,OBSERVATIONS IONOSPHÉRIQUES AU COURS DE LA DEUXIÈME ANNÉE POLAIRE INTERNATIONALE 1932–33
citation_paper_cites_prize_paper,Engineering,Computer Science,Aerospace Engineering,Artificial Intelligence,Physical Sciences,Physical Sciences,2,W2157392200,On some direct evidence for downward atmospheric reflection of electric rays,W2168500994,The Origins of Spread-Spectrum Communications
citation_paper_cites_prize_paper,Engineering,Physics and Astronomy,Aerospace Engineering,Astronomy and Astrophysics,Physical Sciences,Physical Sciences,137,W2157392200,On some direct evidence for downward atmospheric reflection of electric rays,W2013312126,Radio science issues surrounding HF/VHF/UHF radar meteor studies
citation_paper_cites_prize_paper,Engineering,Earth and Planetary Sciences,Aerospace Engineering,Atmospheric Science,Physical Sciences,Physical Sciences,8,W2157392200,On some direct evidence for downward atmospheric reflection of electric rays,W3131489225,Airborne Dual-Band Microwave Radar System for Snow Thickness Measurement
citation_paper_cites_prize_paper,Engineering,Physics and Astronomy,Aerospace Engineering,"Atomic and Molecular Physics, and Optics",Physical Sciences,Physical Sciences,9,W2157392200,On some direct evidence for downward atmospheric reflection of electric rays,W2903260943,Editorial introduction to the special issue “Plasma physics in the 20th century as told by players”
citation_paper_cites_prize_paper,Engineering,Arts and Humanities,Aerospace Engineering,Classics,Physical Sciences,Social Sciences,1,W2157392200,On some direct evidence for downward atmospheric reflection of electric rays,W1988382214,Untersuchungen über den Heulsummer
citation_paper_cites_prize_paper,Engineering,Social Sciences,Aerospace Engineering,Communication,Physical Sciences,Social Sciences,1,W2089912494,Local Reflection of Wireless Waves from the Upper Atmosphere,W3215020421,Recent Research in Radio Communication
citation_paper_cites_prize_paper,Engineering,Computer Science,Aerospace Engineering,Computer Networks and Communications,Physical Sciences,Physical Sciences,1,W2157392200,On some direct evidence for downward atmospheric reflection of electric rays,W1967426342,Effects of Solar Activity on the Ionosphere and Radio Communications
citation_paper_cites_prize_paper,Engineering,Computer Science,Aerospace Engineering,Computer Science Applications,Physical Sciences,Physical Sciences,1,W2089912494,Local Reflection of Wireless Waves from the Upper Atmosphere,W1979420209,Early days of pulse radio at the Carnegie Institution
citation_paper_cites_prize_paper,Engineering,Computer Science,Aerospace Engineering,Computer Vision and Pattern Recognition,Physical Sciences,Physical Sciences,2,W2157392200,On some direct evidence for downward atmospheric reflection of electric rays,W1877996739,Digital chaotic communications
citation_paper_cites_prize_paper,Engineering,"Economics, Econometrics and Finance",Aerospace Engineering,Economics and Econometrics,Physical Sciences,Social Sciences,3,W2157392200,On some direct evidence for downward atmospheric reflection of electric rays,W2793550333,"The British Electronics industry: Past, present and future"
citation_paper_cites_prize_paper,Engineering,Engineering,Aerospace Engineering,Electrical and Electronic Engineering,Physical Sciences,Physical Sciences,12,W2089912494,Local Reflection of Wireless Waves from the Upper Atmosphere,W2061804755,The Physics of the Ionosphere
citation_paper_cites_prize_paper,Engineering,Social Sciences,Aerospace Engineering,"Geography, Planning and Development",Physical Sciences,Social Sciences,1,W2157392200,On some direct evidence for downward atmospheric reflection of electric rays,W4407479698,Le Bureau des longitudes et l’opération Longitudes mondiales
citation_paper_cites_prize_paper,Engineering,Earth and Planetary Sciences,Aerospace Engineering,Geology,Physical Sciences,Physical Sciences,1,W2089912494,Local Reflection of Wireless Waves from the Upper Atmosphere,W2789360240,A history of vertical-incidence ionsphere sounding at the National Bureau of Standards.
citation_paper_cites_prize_paper,Engineering,Earth and Planetary Sciences,Aerospace Engineering,Geophysics,Physical Sciences,Physical Sciences,10,W2157392200,On some direct evidence for downward atmospheric reflection of electric rays,W2066178551,Propagation and application of waves in the ionosphere
citation_paper_cites_prize_paper,Engineering,Environmental Science,Aerospace Engineering,Global and Planetary Change,Physical Sciences,Physical Sciences,2,W2157392200,On some direct evidence for downward atmospheric reflection of electric rays,W4206409732,Die höchsten Atmosphärenschichten
citation_paper_cites_prize_paper,Engineering,Arts and Humanities,Aerospace Engineering,History and Philosophy of Science,Physical Sciences,Social Sciences,1,W2157392200,On some direct evidence for downward atmospheric reflection of electric rays,W2772999092,"Sisir Kumar Mitra, Scientific Achievements and the Fellowship of the Royal Society of London"
citation_paper_cites_prize_paper,Engineering,"Biochemistry, Genetics and Molecular Biology",Aerospace Engineering,Molecular Biology,Physical Sciences,Life Sciences,6,W2089912494,Local Reflection of Wireless Waves from the Upper Atmosphere,W1986247023,An introduction to quiet daily geomagnetic fields
citation_paper_cites_prize_paper,Engineering,Environmental Science,Aerospace Engineering,Nature and Landscape Conservation,Physical Sciences,Physical Sciences,1,W2089912494,Local Reflection of Wireless Waves from the Upper Atmosphere,W2061431535,Zur Vorgeschichte der Weltraumforschung
citation_paper_cites_prize_paper,Engineering,Physics and Astronomy,Aerospace Engineering,Nuclear and High Energy Physics,Physical Sciences,Physical Sciences,4,W2089912494,Local Reflection of Wireless Waves from the Upper Atmosphere,W2490254297,A brief history of solar-terrestrial physics in Australia
citation_paper_cites_prize_paper,Engineering,Engineering,Aerospace Engineering,Ocean Engineering,Physical Sciences,Physical Sciences,1,W2089912494,Local Reflection of Wireless Waves from the Upper Atmosphere,W2166683065,Geophysical Prospection of Underground Water in the Desert by Means of Electromagnetic Interference Fringes
citation_paper_cites_prize_paper,Engineering,Earth and Planetary Sciences,Aerospace Engineering,Oceanography,Physical Sciences,Physical Sciences,1,W2157392200,On some direct evidence for downward atmospheric reflection of electric rays,W1615779222,The Structure of the Terrestrial Atmosphere at Middle Latitudes
citation_paper_cites_prize_paper,Engineering,Chemistry,Aerospace Engineering,Physical and Theoretical Chemistry,Physical Sciences,Physical Sciences,1,W2157392200,On some direct evidence for downward atmospheric reflection of electric rays,W2912906161,Die Theorie der Ionosph�re
citation_paper_cites_prize_paper,Engineering,Medicine,Aerospace Engineering,Physiology,Physical Sciences,Health Sciences,1,W2157392200,On some direct evidence for downward atmospheric reflection of electric rays,W2329725894,100 Jahre elektromagnetische Wellen
citation_paper_cites_prize_paper,Engineering,Social Sciences,Aerospace Engineering,Political Science and International Relations,Physical Sciences,Social Sciences,1,W2089912494,Local Reflection of Wireless Waves from the Upper Atmosphere,W2091934477,The formation of the ionosphere. ideas of the early years (1925–1955)
citation_paper_cites_prize_paper,Engineering,Materials Science,Aerospace Engineering,Polymers and Plastics,Physical Sciences,Physical Sciences,1,W2157392200,On some direct evidence for downward atmospheric reflection of electric rays,W2084691012,Materials and the Engineer
